Date,Open,High,Low,Close,Volume
2024-03-21,0.609502,0.654243,0.606309,0.638353,391686252.48663
2024-03-22,0.638253,0.645181,0.5997,0.608634,469277059.42713
2024-03-23,0.608534,0.6329,0.603539,0.6224,244241082.49519
2024-03-24,0.6223,0.635186,0.613666,0.633362,258073511.53138
2024-03-25,0.633262,0.663159,0.626613,0.643196,714399824.9248
2024-03-26,0.643296,0.653202,0.625319,0.633106,771302125.81583
2024-03-27,0.633013,0.634611,0.605903,0.614179,852772109.74753
2024-03-28,0.614279,0.637596,0.602947,0.625231,917671177.84467
2024-03-29,0.625231,0.645319,0.608803,0.628802,972925768.07876
2024-03-30,0.628702,0.637325,0.619348,0.620242,498404749.3253
2024-03-31,0.620242,0.630024,0.618041,0.626975,258518729.08269
2024-04-01,0.627175,0.633589,0.595076,0.612833,651445617.66581
2024-04-02,0.612733,0.61866,0.57912,0.587935,868100723.48784
2024-04-03,0.588035,0.593131,0.566638,0.571566,773599706.73859
2024-04-04,0.571566,0.617094,0.562401,0.589341,1434297479.1178
2024-04-05,0.589541,0.594167,0.568942,0.5884,733216464.65443
2024-04-06,0.5884,0.596519,0.585457,0.589547,387642115.0995
2024-04-07,0.589547,0.602827,0.589547,0.591053,437555703.12675
2024-04-08,0.590953,0.626469,0.588288,0.618763,1078823883.368
2024-04-09,0.618863,0.642842,0.601486,0.623419,925009721.86921
2024-04-10,0.623519,0.623913,0.593805,0.616182,505174870.96214
2024-04-11,0.616282,0.621363,0.602867,0.609843,317661679.59227
2024-04-12,0.609943,0.615432,0.509194,0.545358,895352031.04838
2024-04-13,0.544858,0.549077,0.428349,0.461373,1245621532.6889
2024-04-14,0.461073,0.499319,0.454472,0.487946,1129166143.8187
2024-04-15,0.487946,0.519265,0.481441,0.494784,755264359.479
2024-04-16,0.494784,0.502306,0.475857,0.496199,569761479.74763
2024-04-17,0.496199,0.508207,0.4718,0.495845,530997787.36721
2024-04-18,0.495845,0.505939,0.485697,0.502251,401692661.75163
2024-04-19,0.501851,0.507662,0.466651,0.507557,632826561.22992
2024-04-20,0.507968,0.530186,0.496503,0.528559,398969880.04226
2024-04-21,0.528759,0.536766,0.518414,0.526289,246914988.8244
2024-04-22,0.526189,0.57156,0.522284,0.559062,517089962.7892
2024-04-23,0.559162,0.561563,0.541822,0.550483,355404662.2245
2024-04-24,0.550489,0.55185,0.524322,0.531411,436483527.87998
2024-04-25,0.531411,0.532391,0.513448,0.528693,388333620.35182
2024-04-26,0.528693,0.536207,0.5146,0.528511,295557594.8908
2024-04-27,0.528347,0.528547,0.508041,0.518133,165557394.08209
2024-04-28,0.518033,0.525635,0.516293,0.518089,90834463.042287
2024-04-29,0.517889,0.518752,0.498351,0.5137,330448975.80788
2024-04-30,0.5138,0.519623,0.487317,0.496554,398108253.55335
2024-05-01,0.496549,0.520132,0.478525,0.514228,505258979.16438
2024-05-02,0.514228,0.524516,0.506264,0.519926,333601400.79484
2024-05-03,0.519821,0.536836,0.514495,0.532824,329585424.50006
2024-05-04,0.532824,0.541087,0.527416,0.531148,179241721.25856
2024-05-05,0.531248,0.5333,0.524163,0.529258,112084689.1896
2024-05-06,0.529163,0.569989,0.524905,0.545511,633353034.85612
2024-05-07,0.545505,0.546405,0.528989,0.531884,298485550.10066
2024-05-08,0.531784,0.531884,0.517412,0.518839,280902603.67145
2024-05-09,0.518739,0.523522,0.508576,0.518417,236254989.14686
2024-05-10,0.518417,0.521722,0.497341,0.502949,256574084.66473
2024-05-11,0.503049,0.507631,0.49955,0.506289,104914817.77046
2024-05-12,0.506289,0.508497,0.496231,0.499985,77356138.400188
2024-05-13,0.500085,0.511903,0.486654,0.504744,327998283.52133
2024-05-14,0.504844,0.512892,0.497141,0.502119,303400155.08234
2024-05-15,0.502119,0.51979,0.496702,0.517505,311306003.97642
2024-05-16,0.517705,0.522684,0.512443,0.515546,352511474.44524
2024-05-17,0.515546,0.529117,0.513446,0.523183,263419332.78562
2024-05-18,0.523083,0.525695,0.518719,0.520689,98091829.705348
2024-05-19,0.520689,0.523684,0.506395,0.508964,122282849.71468
2024-05-20,0.508969,0.535494,0.5065,0.535003,342982786.63781
2024-05-21,0.535203,0.556783,0.531883,0.533383,577142919.7223
2024-05-22,0.533261,0.538344,0.522512,0.527278,313070761.66104
2024-05-23,0.527178,0.548393,0.503206,0.528961,435842665.31874
2024-05-24,0.528967,0.537056,0.51665,0.533436,341100254.21566
2024-05-25,0.533436,0.542491,0.533071,0.540292,153171243.33879
2024-05-26,0.540392,0.542208,0.525679,0.529052,105840164.35301
2024-05-27,0.529099,0.540402,0.523291,0.534155,383442893.38361
2024-05-28,0.534155,0.536058,0.520835,0.527303,433174011.10707
2024-05-29,0.527303,0.532867,0.519522,0.523723,298367957.07078
2024-05-30,0.523818,0.527067,0.512544,0.520018,262413559.0157
2024-05-31,0.520013,0.525385,0.51168,0.517483,309023726.72882
2024-06-01,0.517583,0.521331,0.516473,0.519337,126841144.73561
2024-06-02,0.519584,0.520389,0.507785,0.513927,168861686.30681
2024-06-03,0.513927,0.52279,0.511498,0.521811,276549014.33536
2024-06-04,0.521811,0.530247,0.518145,0.5251,302953099.34736
2024-06-05,0.5252,0.532425,0.5244,0.526453,350391901.85257
2024-06-06,0.526453,0.527905,0.516324,0.520333,346925442.55904
2024-06-07,0.520333,0.527667,0.471323,0.49871,546014413.55223
2024-06-08,0.498715,0.500605,0.489802,0.494346,220132252.29827
2024-06-09,0.494341,0.49884,0.490956,0.498825,108314211.54196
2024-06-10,0.49895,0.505863,0.493252,0.496466,254502069.26114
2024-06-11,0.496366,0.496876,0.47126,0.480799,438652627.24599
2024-06-12,0.480799,0.497604,0.474353,0.490938,334656423.14694
2024-06-13,0.490838,0.491933,0.475543,0.478808,251863659.28123
2024-06-14,0.478908,0.480992,0.462715,0.475067,365586350.92441
2024-06-15,0.474967,0.504917,0.472664,0.489721,283528273.44802
2024-06-16,0.489521,0.499085,0.487473,0.488309,224237287.65794
2024-06-17,0.488409,0.520457,0.483714,0.509565,804731941.58676
2024-06-18,0.509565,0.510265,0.476228,0.489231,706096580.17579
2024-06-19,0.489231,0.499365,0.486678,0.493902,342064607.98453
2024-06-20,0.493902,0.501894,0.488073,0.488953,328416662.41986
2024-06-21,0.488953,0.495423,0.479311,0.485998,343328005.54287
2024-06-22,0.485899,0.492295,0.483914,0.487505,140774635.33856
2024-06-23,0.487505,0.488985,0.476971,0.480863,113269066.55558
2024-06-24,0.480968,0.482178,0.462,0.472555,395384555.3437
2024-06-25,0.472855,0.479807,0.471665,0.476014,308047963.08405
2024-06-26,0.476014,0.478075,0.46536,0.47048,321557010.67195
2024-06-27,0.470342,0.476623,0.46523,0.474264,290111743.6868
